2026-01-19 21:23:02,696 | INFO | FAISS | Resultados FAISS: [{'articulo': '26277', 'descripcion': 'REDUCCION PVC EXCENTRICA H-M D.110/90 RIUVERT AC-20E', 'distancia': 1.3716896772384644}, {'articulo': '13149', 'descripcion': 'REDUCCION PPR EGB 50-40', 'distancia': 1.3739845752716064}, {'articulo': '44783', 'descripcion': 'REDUCCION D.56 1 1/4X1/2"I. ZINCADA', 'distancia': 1.3744367361068726}, {'articulo': '26278', 'descripcion': 'REDUCCION PVC EXCENTRICA H-M D.125/110 RIUVERT AC-20E', 'distancia': 1.3780908584594727}, {'articulo': '13146', 'descripcion': 'REDUCCION PPR EGB 50-20', 'distancia': 1.3799737691879272}]
2026-01-19 21:23:02,696 | INFO | EXCEL | Buscando producto en Excel: 26277
2026-01-19 21:23:02,705 | INFO | EXCEL | Producto encontrado: {'articulo': '26277', 'descripcion': 'REDUCCION PVC EXCENTRICA H-M D.110/90 RIUVERT AC-20E', 'stock': 25, 'ubicacion': '0000000000'}
2026-01-19 21:23:02,705 | INFO | EXCEL | Buscando producto en Excel: 13149
2026-01-19 21:23:02,708 | INFO | EXCEL | Producto encontrado: {'articulo': '13149', 'descripcion': 'REDUCCION PPR EGB 50-40', 'stock': 60, 'ubicacion': '0000000000'}
2026-01-19 21:23:02,709 | INFO | EXCEL | Buscando producto en Excel: 44783
2026-01-19 21:23:02,711 | INFO | EXCEL | Producto encontrado: {'articulo': '44783', 'descripcion': 'REDUCCION D.56 1 1/4X1/2"I. ZINCADA', 'stock': 70, 'ubicacion': '0000000000'}
2026-01-19 21:23:02,713 | INFO | EXCEL | Buscando producto en Excel: 26278
2026-01-19 21:23:02,714 | INFO | EXCEL | Producto encontrado: {'articulo': '26278', 'descripcion': 'REDUCCION PVC EXCENTRICA H-M D.125/110 RIUVERT AC-20E', 'stock': 24, 'ubicacion': '0000000000'}
2026-01-19 21:23:02,717 | INFO | EXCEL | Buscando producto en Excel: 13146
2026-01-19 21:23:02,718 | INFO | EXCEL | Producto encontrado: {'articulo': '13146', 'descripcion': 'REDUCCION PPR EGB 50-20', 'stock': 13, 'ubicacion': '0000000000'}
2026-01-19 21:23:02,720 | INFO | AGENT | Respuesta generada correctamente
2026-01-19 21:23:02,720 | INFO | API | Respuesta enviada
2026-01-19 21:23:17,042 | INFO | API | Mensaje recibido: te estoy pidiendo codo de media
2026-01-19 21:23:17,043 | INFO | AGENT | Mensaje recibido: te estoy pidiendo codo de media
2026-01-19 21:23:17,044 | INFO | LLM | Interpretando mensaje: te estoy pidiendo codo de media
2026-01-19 21:23:18,857 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
